Date,Open,High,Low,Close,Adj Close,Volume,All Items,realtime_start,realtime_end,value,DEXUSEU
2020-09-08,3371.8798828125,3379.969970703125,3329.27001953125,3331.840087890625,3331.840087890625,4694330000.0,0.014,2024-07-18,2024-07-18,17083.8,1.1789
2020-09-09,3369.820068359375,3424.77001953125,3366.840087890625,3398.9599609375,3398.9599609375,3932520000.0,0.014,2024-07-18,2024-07-18,17083.8,1.181
2020-09-10,3412.56005859375,3425.550048828125,3329.25,3339.18994140625,3339.18994140625,4208630000.0,0.014,2024-07-18,2024-07-18,17083.8,1.188
2020-09-11,3352.699951171875,3368.949951171875,3310.469970703125,3340.969970703125,3340.969970703125,3710090000.0,0.014,2024-07-18,2024-07-18,17083.8,1.1831
2020-09-14,3363.56005859375,3402.929931640625,3363.56005859375,3383.5400390625,3383.5400390625,3839580000.0,0.014,2024-07-18,2024-07-18,17210.5,1.1874
2020-09-15,3407.72998046875,3419.47998046875,3389.25,3401.199951171875,3401.199951171875,4057190000.0,0.014,2024-07-18,2024-07-18,17210.5,1.1846
2020-09-16,3411.22998046875,3428.919921875,3384.449951171875,3385.489990234375,3385.489990234375,4718900000.0,0.014,2024-07-18,2024-07-18,17210.5,1.1835
2020-09-17,3346.860107421875,3375.169921875,3328.820068359375,3357.010009765625,3357.010009765625,4379840000.0,0.014,2024-07-18,2024-07-18,17210.5,1.1823
2020-09-18,3357.3798828125,3362.27001953125,3292.39990234375,3319.469970703125,3319.469970703125,7076400000.0,0.014,2024-07-18,2024-07-18,17210.5,1.1857
2020-09-21,3285.570068359375,3285.570068359375,3229.10009765625,3281.06005859375,3281.06005859375,4836070000.0,0.014,2024-07-18,2024-07-18,17233.0,1.1737
2020-09-22,3295.75,3320.31005859375,3270.949951171875,3315.570068359375,3315.570068359375,3974510000.0,0.014,2024-07-18,2024-07-18,17233.0,1.1703
2020-09-23,3320.110107421875,3323.35009765625,3232.570068359375,3236.919921875,3236.919921875,4378650000.0,0.014,2024-07-18,2024-07-18,17233.0,1.1677
2020-09-24,3226.139892578125,3278.699951171875,3209.449951171875,3246.590087890625,3246.590087890625,4601920000.0,0.014,2024-07-18,2024-07-18,17233.0,1.1666
2020-09-25,3236.659912109375,3306.8798828125,3228.43994140625,3298.4599609375,3298.4599609375,3803330000.0,0.014,2024-07-18,2024-07-18,17233.0,1.1618
2020-09-28,3333.89990234375,3360.739990234375,3332.909912109375,3351.60009765625,3351.60009765625,3950910000.0,0.014,2024-07-18,2024-07-18,17168.0,1.166
2020-09-29,3350.919921875,3357.919921875,3327.5400390625,3335.469970703125,3335.469970703125,3661590000.0,0.014,2024-07-18,2024-07-18,17168.0,1.1717
2020-09-30,3341.2099609375,3393.56005859375,3340.469970703125,3363.0,3363.0,4738640000.0,0.014,2024-07-18,2024-07-18,17168.0,1.1723
2020-10-01,3385.8701171875,3397.179931640625,3361.389892578125,3380.800048828125,3380.800048828125,4076340000.0,0.014,2024-07-18,2024-07-18,17168.0,1.1752
2020-10-02,3338.93994140625,3369.10009765625,3323.68994140625,3348.419921875,3348.419921875,3975180000.0,0.014,2024-07-18,2024-07-18,17168.0,1.1706
2020-10-05,3367.27001953125,3409.570068359375,3367.27001953125,3408.60009765625,3408.60009765625,3692720000.0,0.014,2024-07-18,2024-07-18,17218.0,1.1784
